XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAINFALL,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,TAGAP_DRY,TAGAP_WET,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_FISH,LF_CROP,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,FP_WRK,FP_FEMWRK,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,LA_RICE1HA,LA_CULT1HA,MA_INDACT,MA_PROXROAD,SW_PROXRIV,SW_PONDS,FISHPRO
367800,1394700,15011013,Pit Trang,2,0.66458333,5,31.2,0,813053.9684,1219580.953,1661.479248,1371.771729,60118.04862,0,571,1.024823,635.22,3.106,0,1152.631579,113.1578947,200,1.032521392,131.5789474,0,0,100,264.2857143,635.7142857,2.5,3,440.55944,454.54545,3.656056965,181.2449716,1083.29752,1,0
454232,1427196,6081209,Srah Pophluk,2,1.33864176,5,25.6,0,2032634.921,0,704.2095337,768.1959839,32238.23615,0,573,1.039146,638.498,188.192,0,908.0118694,0,2.96735905,0.021906245,0,0,0,0,0,0,1,2,661.8705,0,0,376.993804,80107.7616799999,6,0
329155,1503334,17060203,Khsach,3,1.88414347,5,24,0,1626107.93699999,0,1635.638062,1253.911499,54548.86108,0,573,0.848387,594.059,0,0,554.0069686,0,289.1986063,1.06538073,432.0557491,0,0,29.7029703,128.7128713,841.5841584,1,0,391.30435,0,3.421650471,442.8447876,43898.8559299999,10,0
361988,1486679,17071009,Puok Thmei,2,1.90817308,5,20.2,0,2032634.921,0,1505.313354,1596.635986,34541.6854499999,0,573,1.061151,768.362,0,0,483.3759591,10.23017903,196.9309463,1.264064608,56.26598465,0,0,26.78571429,35.71428571,937.5,1.5,2,66.66667,0,18.9842632,154.7364609,68911.0023899999,0,0
385600,1391000,15020703,Svay Luong,2,2.5859375,5,31,0,0,406526.9842,1256.414429,1268.99646,45624.1902699999,0,579,0.976109,855.072,93.333,10.15228426,1000,5.076142132,10.15228426,0.760923392,25.38071066,0,0,50,233.3333333,716.6666667,1,0,250,166.66667,0,57.83378929,6372.740513,1,100
293100,1493000,1021207,Kouk Srok,2,1.69479168,5,30.8,0,0,2845688.889,1761.266602,1482.636841,70611.6368999999,0,580,0.895425,509.934,63.063,121.6545012,936.7396594,291.9708029,12.16545012,1.091381721,158.1508516,0,0,64.51612903,148.3870968,787.0967742,2.5,3.5,108.10811,0,1.689189189,107.0546797,7968.445574,35,0
300800,1501400,1040510,Kouk Srok,2,1.68741441,5,28.8,0,3252215.873,0,1916.782837,1525.339478,69806.8686,0,580,0.895425,509.934,63.063,0,942.2382671,0,32.49097473,0.874341238,292.4187726,0,0,0,0,0,2.5,3.5,108.10811,0,3.905837862,407.1341071,15698.11789,35,0
362602,1485418,17071005,Kouk Srok,2,-9999,5,20.2,0,406526.9842,0,1644.314819,1354.227051,33532.90215,0,580,0.895425,509.934,63.063,13.28021248,382.4701195,90.30544489,191.2350598,1.535230633,38.5126162,0,0,0,0,0,2.5,3.5,108.10811,0,6.448647519,84.54818223,68677.21153,35,0
388000,1471900,17090802,Kouk Srok,2,4.11653757,5,18,0,4471796.826,0,1850.633789,1636.785156,40562.49081,0,580,0.895425,509.934,63.063,14.16430595,1647.308782,11.33144476,99.15014164,0.992092774,21.24645892,0,0,0,0,0,2.5,3.5,108.10811,0,0,352.4610115,78443.7901299999,35,0
327200,1491200,1040414,Kampream,2,3.80663467,5,24.4,0,2845688.889,0,1427.535645,1232.008423,44835.08008,0,582,0.966216,651.376,569.853,146.627566,970.6744868,234.6041056,29.3255132,1.522790368,146.627566,0,0,94.33962264,169.8113208,735.8490566,2.9,0,0,0,1.10619469,176.2766841,41125.17339,0,0
