XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_RICE,LF_VEGE,LF_LSC,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,RYLD_DANDW,RYLD_RANDI,LA_RICE1HA,LA_CULT1HA,INDAGRIM,A_IRRIC,A_IRRIR,A_IRRIP,A_IRRIW,MA_INDACT,MA_PROXROAD,TAGAP_DRY,TAGAP_WET,SW_PROXRIV,SW_PONDS,GW_DWELL,GW_BOREW,IRRI_SCH,IRRI_HEAD
395892,1382239,15031106,Tbaeng Chrum,2,0.39166668,5,31.6,0,4471796.826,0,43448.62991,0,989,1.034979,635.266,4.082,812.5,26.786,8.929,30.35714286,0.945482334,232.1428571,23.04147465,46.08294931,930.875576,2.5,1.15,-0.936,-1,461.53846,256.41026,16.68018568,0,0,0,0,0,336.8123723,2381.623779,1860.943481,7107.461192,10,2,2,0,No
415672,1453552,17041108,Prey Pros,2,5.92662573,4,21,0,6097904.763,2845688.889,39465.5200499999,0,984,0.802198,623.711,162.602,334.5070423,40.493,28.169,24.64788732,1.490947999,84.50704225,121.9512195,224.3902439,653.6585366,1.5,0,-1,0,263.15789,0,4.736842105,0,0,0,0,0,476.1246621,2460.006592,1642.582642,75726.9444499999,0,4,0,0,No
331600,1412600,2060106,Ruessei Pir,2,-9999,5,28.2,0,0,406526.9842,45765.20623,0,980,0.880998,523.49,134.694,128.8244767,57.971,25.765,297.9066023,1.254009643,107.8904992,125,158.6538462,716.3461538,1.5,0,-0.9747,-1,20.1005,80.40201,8.304252186,0,0,0,0,1.063534661,7.95380462,3052.99292,1326.924805,864.2542868,14,0,0,0,Yes
381035,1475400,17100602,Khnar,3,0.49687499,5,18,2845688.889,3252215.873,0,36451.14667,0,980,1.041667,673.846,0,242.0822716,21.311,49.18,56.06115763,0.961264476,0,173.0769231,211.5384615,615.3846154,1.7,0,-0.0215,0.2857,621.35922,111.65049,3.69426598,0,0,0,0,11.30934869,517.1227686,1305.630859,675.6306763,78370.30099,0,0,2,0,No
366551,1478600,17101211,Khnar,2,1.84973955,4,19.8,0,813053.9684,0,28974.47161,0,980,1.041667,673.846,0,873.8095238,21.311,49.18,202.3809524,0.785356157,0,0,0,0,1.7,0,0.0426,1,621.35922,111.65049,5.17380146,1,0,0,0,2.713722787,14.29665277,3091.907227,2107.571777,68443.19186,0,3,0,1254174.92732,Yes
472978,1415377,6020702,Balang,2,3.46045923,5,28.8,0,2439161.90499999,0,32828.2656399999,0,977,0.969758,676.471,46.512,539.3518519,0,623.932,155.0925926,1.19541081,127.3148148,93.87755102,134.6938776,771.4285714,1.8,0,-0.8207,-0.8362,789.47368,206.47773,12.43338179,0.0096,0.0034,0,0,0,293.5594817,1076.315674,1175.221802,78612.49498,1,7,0,0,No
448593,1430392,6080606,Msar Krang Cheung,2,2.45023274,5,24.4,0,3252215.873,0,28672.1953399999,0,977,0.981744,510.965,279.805,782.8571429,80,0,140.952381,0.927799118,110.4761905,0,0,0,0,3,-0.6516,-0.5647,331.83857,0,6.604765702,0.2926,0,0,0,0,85.51820857,779.5752563,796.7706909,78318.56884,0,0,0,3458634.16084,Yes
423496,1453431,17040510,Thnal Ta Set,2,1.05411184,5,21.2,0,7317485.71499999,0,38384.68886,0,977,1.035417,594.164,0,1073.504274,0,0,27.35042735,0.293181794,51.28205128,182.2222222,106.6666667,711.1111111,1,0,-0.8824,1,407.40741,0,4.703186613,0.0394,0,0,0,0,61.1244607,993.5716553,1048.188354,79404.60279,1,27,0,7370899.99065999,Yes
292687,1498222,1020502,Sdei Leu,2,1.2992599,5,30.6,0,0,2845688.889,73976.1599699999,0,975,0.882239,706.612,45.113,502.269289,36.309,10.59,42.36006051,1.092510572,296.5204236,28.40909091,85.22727273,886.3636364,0.8,3,-1,0,135.45817,0,26.96373564,0,0,0,0,5.116833088,390.9617198,1915.099243,1568.797363,7084.170138,13,0,0,0,No
309791,1455795,2050402,Sdei Leu,2,1.52908659,5,31.4,0,0,1626107.93699999,42017.95481,0,975,0.882239,706.612,45.113,359.9595551,36.309,10.59,47.52275025,1.217974877,83.9231547,0,0,0,0.8,3,-0.8533,-0.0909,135.45817,0,18.00126667,0,0,0,0,4.616255922,444.1614588,2039.801514,1570.68103,8692.461976,13,0,0,0,No
