XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_CROP,LF_FISH,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,LAT_NOIMPR,LAT_IMPR,WA_NEAR,WA_WITHIN,WS_PUR,WS_WELL,WS_POND,WS_RIV,WS_RAINS,WT_FILT,WT_BOIL,WT_CHLTT,WT_SOLTT,MA_INDACT,MA_PROXROAD,WA_AWAY,WS_UNSAFE,WT_UNTREAT
428396,1452009,17040503,Patat,2,1.26468754,5,21.8,1050,0.962617,506.702,120.939,697.108067,0,0,15.22070015,0.403181212,73.05936073,233.5025381,25.38071066,741.1167513,192.30769,192.30769,38,104,0,1000,0,0,0,0,21.978021978,0,0,0,10.18973556,857,0,978
361795,1396025,15010203,Krasang Kruo,2,2.45499992,5,31,1052,0.878571,581.871,9.328,1036.253776,0,129.9093656,83.081571,1.099170611,74.01812689,93.49593496,121.9512195,784.5528455,286.32479,21.36752,370,320,0,649.5726495727,158.1196581197,0,192.3076923077,136.7521367521,145.2991452991,0,0,3.887004662,140.7774647,311,158,718
285331,1486941,1020603,Phnum Thum Cheung,2,-9999,5,32.8,1053,1.060665,590.331,24.621,215.7809984,0,48.30917874,59.58132045,1.51799648,165.8615137,117.3469388,102.0408163,780.6122449,482.14286,482.14286,332,145,160.7142857143,424.1071428571,53.5714285714,0,361.6071428571,44.6428571429,732.1428571429,66.9642857143,0,2.428394881,197.1889529,523,54,156
332738,1412558,2060208,Kear Bei,2,1.11093748,5,28.4,1053,0.95,599.291,22.847,393.2107496,0,12.72984441,63.64922207,0.950654747,157.0014144,124.4239631,161.2903226,714.2857143,923.72881,754.23729,455,179,211.8644067797,0,169.4915254237,576.2711864407,42.3728813559,21.186440678,720.3389830508,0,0,2.160721156,534.140707,353,746,258
440245,1385540,6020605,Kaoh Ta Pov,1,17.44522858,3,29.4,1054,1.01145,459.276,507.782,0,875.399361,0,30.3514377,0.274099913,27.15654952,250,264.7058824,485.2941176,0,0,481,514,0,0,0,1000,0,0,157.0680628272,0,0,0,2951.085106,0,1000,843
286925,1489364,1020114,Prey Changha Lech,2,-9999,5,32,1056,0.934066,623.41,83.333,929.9847793,0,0,153.7290715,0.755511044,123.2876712,137.4045802,95.41984733,767.1755725,266.66667,250,76,641,16.6666666667,116.6666666667,583.3333333333,241.6666666667,41.6666666667,41.6666666667,208.3333333333,0,20.8333333333,1.76369498,229.9639329,283,825,729
405963,1466454,17110205,Ou Roluh,2,0.55285329,5,19.6,1056,0.962825,792.651,0,598.7361769,0,60.03159558,74.24960506,1.129037035,197.4723539,0,0,0,235,235,315,107,0,995,5,0,0,160,240,0,0,0,476.3080494,579,5,600
289500,1495100,1021302,Ta Lam Kandal,2,0.66229838,5,31.4,1058,0.988722,571.429,1.799,596.9924812,0,0,10.52631579,0.665225751,249.6240602,53.27868852,106.557377,840.1639344,196.85039,157.48031,723,0,0,7.874015748,992.125984252,0,0,177.1653543307,98.4251968504,0,0,3.580941303,42.11543829,277,992,724
325685,1421655,2060806,Stueng Chak,2,2.53695846,5,28.6,1058,1.042471,715.64,3.846,867.5282714,218.0936995,14.53957997,203.5541195,0.981827607,3.231017771,254.3859649,78.94736842,666.6666667,119.81567,119.81567,459,133,0,686.6359447005,230.4147465438,82.9493087558,0,239.6313364055,635.9447004608,0,0,0.8640553,251.0372444,408,313,124
462549,1355213,4030408,Ti Prambei,3,-9999,5,31.6,1060,0.903052,626.582,21.277,74.43820225,12.64044944,335.6741573,533.7078652,1.044118483,25.28089888,217.0542636,131.7829457,651.1627907,512.93103,512.93103,159,750,94.8275862069,525.8620689655,0,375,4.3103448276,47.4137931034,193.9655172414,0,0,7.996236159,83.30316612,87,375,759
364002,1483881,17071305,Doun Sva,2,-9999,5,20,1060,0.916817,831.288,303.183,867.7379481,18.54140915,467.2435105,176.7614339,1.221007281,3.708281829,8.5106383,72.34042553,919.1489362,694.73684,694.73684,108,249,0,NA,0,0,0,342.1052631579,657.8947368421,0,0,0.236742424,25.36383532,643,0,0
299000,1451700,2020402,Chrey,2,-9999,5,33.8,1061,0.950368,467.456,23.483,664.2335766,0,0,65.69343066,1.068979033,32.84671533,40.16064257,160.6425703,799.1967871,392.71255,392.71255,664,304,404.8582995951,404.8582995951,222.6720647773,60.7287449393,0,12.1457489879,0,0,0,0,655.2088039,28,283,988
455600,1431009,6081307,Trea,2,0.85099429,5,25.2,1061,1.001887,435.484,115.942,896.7213115,0,0,170.4918033,0.962280053,119.6721311,154.8672566,163.7168142,681.4159292,812.5,812.5,342,0,0,0,36.4583333333,963.5416666667,0,239.5833333333,52.0833333333,0,0,1.102309362,579.0107503,658,1000,708
384386,1476234,17090608,Chrey,2,0.52857143,5,18,1061,0.950368,467.456,23.483,295.1750237,0,0,32.16650899,1.015897387,21.75969726,0,0,0,392.71255,392.71255,528,419,0,NA,0,0,0,202.4291497976,238.8663967611,0,0,7.528725677,73.9194105,53,0,559
371021,1475067,17100804,Chrey,3,6.15524769,5,19.2,1061,0.950368,467.456,23.483,721.3114754,0,0,172.1311475,0.787917076,2.732240437,0,0,0,392.71255,392.71255,99,727,0,493.9271255061,0,0,0,24.2914979757,283.4008097166,0,0,0,643.4919375,165,0,692
368778,1483360,17101303,Chrey,2,38.71176529,5,19.6,1061,0.950368,467.456,23.483,648.4771574,50.76142132,91.37055838,346.4467005,1.456306547,12.69035533,0,0,0,392.71255,392.71255,158,803,0,NA,0,0,0,299.5951417004,809.7165991903,0,0,19.35470164,100.9798967,39,0,NA
398874,1466574,17110605,Chrey,2,0.65716147,5,19,1061,0.950368,467.456,23.483,911.2988384,0,0,46.4625132,0.806366916,214.3611404,0,0,0,392.71255,392.71255,134,562,0,NA,0,0,0,NA,0,0,0,0,221.855213,304,0,NA
